State,Issuer_Name,Issuer_ID,Metal_Level,Issuer_Claims_Received,Issuer_Claims_Denials,Issuer_Internal_Appeals_Filed,Issuer_Number_Internal_Appeals_Overturned,Issuer_Percent_Internal_Appeals_Overturned,Issuer_External_Appeals_Filed,Issuer_Number_External_Appeals_Overturned,Issuer_Percent_External_Appeals_Overturned,Plan_Number_Claims_Received,Plan_Number_Claims_Denied,Plan_Number_Claims_Denied_Referral_Required,Plan_Number_Claims_Denied_Out_of_Network,Plan_Number_Claims_Denied_Services_Excluded,Plan_Number_Claims_Denied_Not_Medically_Necessary_Excl_Behavioral_Health,Plan_Number_Claims_Denied_Not_Medically_Necessary_Behavioral_Health_Only,Plan_Number_Claims_Denied_Other,Rate_Review,Financial_Information,Average Monthly Enrollment,Average Monthly Disenrollment
AL,Blue Cross and Blue Shield of Alabama,46944,Bronze Expanded,7557971,1710597,1974,569,28.82,56,**,**,225703,52839,2655,2793,12094,502,18,35499,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=55433&:refresh,8039,1089
AL,Blue Cross and Blue Shield of Alabama,46944,Catastrophic,7557971,1710597,1974,569,28.82,56,**,**,38621,13271,467,646,1953,53,**,10222,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=55433&:refresh,1306,378
AL,Blue Cross and Blue Shield of Alabama,46944,Bronze Expanded,7557971,1710597,1974,569,28.82,56,**,**,256424,63224,3588,3431,12717,504,20,43696,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=55433&:refresh,10112,1416
AL,Blue Cross and Blue Shield of Alabama,46944,Gold,7557971,1710597,1974,569,28.82,56,**,**,214414,51666,6181,2073,11924,515,28,31669,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=55433&:refresh,4155,596
AL,Blue Cross and Blue Shield of Alabama,46944,Silver,7557971,1710597,1974,569,28.82,56,**,**,4949603,1117775,101482,39501,271216,8518,207,713693,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=55433&:refresh,109132,10888
AL,Bright Health Insurance Company,73301,Gold,99090,6396,20,0,0,0,0,**,415,23,0,263,0,0,0,61,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=16102&:refresh,*,*
AL,Bright Health Insurance Company,73301,Bronze Expanded,99090,6396,20,0,0,0,0,**,1061,198,0,245,0,0,0,249,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=16102&:refresh,32,*
AL,Bright Health Insurance Company,73301,Silver,99090,6396,20,0,0,0,0,**,39538,2583,0,2551,374,278,0,6273,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=16102&:refresh,583,82
AL,Bright Health Insurance Company,73301,Bronze Expanded,99090,6396,20,0,0,0,0,**,13536,981,0,1429,42,0,0,2353,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=16102&:refresh,602,98
AL,Bright Health Insurance Company,73301,Silver,99090,6396,20,0,0,0,0,**,19346,1093,0,1868,131,**,0,3247,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=16102&:refresh,292,62
AL,Bright Health Insurance Company,73301,Silver,99090,6396,20,0,0,0,0,**,6619,229,0,515,25,0,0,1019,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=16102&:refresh,143,28
AR,"QualChoice Life & Health Insurance Company, Inc.",37903,Silver,1971681,361647,103,86,83.5,0,0,**,1971681,361647,38925,220,0,1308,165,321029,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=70998&:refresh,12,*
AR,"QCA Health Plan, Inc.",70525,Silver,1954143,362988,297,135,45.45,0,0,**,1951591,362536,39248,234,0,1257,144,321653,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=95448&:refresh,*,*
AR,"QCA Health Plan, Inc.",70525,Bronze Expanded,1954143,362988,297,135,45.45,0,0,**,2552,452,23,0,0,0,0,429,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=95448&:refresh,57,*
AR,"HMO Partners, Inc.",13262,Silver,919095,152474,311,68,21.86,0,0,**,914978,151918,11255,15873,42118,662,228,121154,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=95442&:refresh,71,12
AR,USAble Mutual Insurance Company,75293,Silver,5795970,1054292,6575,1930,29.35,54,12,22.22,501164,85977,5827,4949,25129,451,96,68479,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=83470&:refresh,6757,686
AR,USAble Mutual Insurance Company,75293,Silver,5795970,1054292,6575,1930,29.35,54,12,22.22,3611888,684463,82154,2824,388215,8233,1662,398420,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=83470&:refresh,3367,458
AR,USAble Mutual Insurance Company,75293,Silver,5795970,1054292,6575,1930,29.35,54,12,22.22,113912,20120,1536,1296,6242,248,21,15336,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=83470&:refresh,1197,148
AR,USAble Mutual Insurance Company,75293,Bronze Expanded,5795970,1054292,6575,1930,29.35,54,12,22.22,452845,75996,4115,4023,22385,304,53,59607,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=83470&:refresh,8942,1301
AR,USAble Mutual Insurance Company,75293,Bronze Expanded,5795970,1054292,6575,1930,29.35,54,12,22.22,101825,17278,812,1122,4418,75,0,14203,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=83470&:refresh,2122,264
AR,USAble Mutual Insurance Company,75293,Silver,5795970,1054292,6575,1930,29.35,54,12,22.22,911573,150970,10097,8261,43788,1086,79,118137,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=83470&:refresh,12232,1428
AR,USAble Mutual Insurance Company,75293,Gold,5795970,1054292,6575,1930,29.35,54,12,22.22,89719,16874,1166,1656,4545,147,35,13235,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=83470&:refresh,706,81
AR,Celtic Insurance Company,62141,Silver,4540069,877096,742,356,47.98,**,**,**,3153806,605849,70508,184,0,1656,393,533108,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=80799&:refresh,220,19
AR,Celtic Insurance Company,62141,Silver,4540069,877096,742,356,47.98,**,**,**,415653,82515,11153,**,0,252,30,71071,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=80799&:refresh,6567,898
AR,Celtic Insurance Company,62141,Silver,4540069,877096,742,356,47.98,**,**,**,405264,80097,10957,17,0,153,**,68967,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=80799&:refresh,6929,1073
AR,Celtic Insurance Company,62141,Gold,4540069,877096,742,356,47.98,**,**,**,35618,6995,1059,0,0,12,0,5924,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=80799&:refresh,458,55
AR,Celtic Insurance Company,62141,Bronze Expanded,4540069,877096,742,356,47.98,**,**,**,63889,12706,1691,**,0,12,0,11001,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=80799&:refresh,1593,328
AR,Celtic Insurance Company,62141,Bronze,4540069,877096,742,356,47.98,**,**,**,58044,10959,1265,**,0,**,**,9673,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=80799&:refresh,1770,378
AR,Celtic Insurance Company,62141,Silver,4540069,877096,742,356,47.98,**,**,**,75080,15323,1776,**,0,30,0,13515,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=80799&:refresh,1021,113
AR,Celtic Insurance Company,62141,Silver,4540069,877096,742,356,47.98,**,**,**,7071,1806,246,0,0,**,0,1557,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=80799&:refresh,104,20
AR,Celtic Insurance Company,62141,Silver,4540069,877096,742,356,47.98,**,**,**,207235,38704,5479,**,0,84,54,33082,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=80799&:refresh,3176,513
AR,Celtic Insurance Company,62141,Silver,4540069,877096,742,356,47.98,**,**,**,29534,5762,1011,**,0,21,0,4727,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=80799&:refresh,388,63
AR,Celtic Insurance Company,62141,Gold,4540069,877096,742,356,47.98,**,**,**,18298,3295,573,**,0,0,0,2721,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=80799&:refresh,255,34
AR,Celtic Insurance Company,62141,Bronze Expanded,4540069,877096,742,356,47.98,**,**,**,32046,5835,763,0,0,18,0,5054,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=80799&:refresh,745,156
AR,Celtic Insurance Company,62141,Bronze,4540069,877096,742,356,47.98,**,**,**,38531,7250,923,**,0,18,0,6304,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=80799&:refresh,940,224
AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901,Gold,1702700,270255,1917,615,32.08,47,14,29.79,6877,1021,142,113,11,**,0,859,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=53589&:refresh,77,12
AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901,Gold,1702700,270255,1917,615,32.08,47,14,29.79,2763,443,39,67,**,0,0,402,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=53589&:refresh,*,*
AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901,Gold,1702700,270255,1917,615,32.08,47,14,29.79,369,50,20,0,0,0,0,30,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=53589&:refresh,*,*
AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901,Gold,1702700,270255,1917,615,32.08,47,14,29.79,15612,2080,367,157,**,57,**,1644,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=53589&:refresh,188,31
AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901,Gold,1702700,270255,1917,615,32.08,47,14,29.79,2558,478,72,29,**,**,0,401,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=53589&:refresh,*,*
AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901,Silver,1702700,270255,1917,615,32.08,47,14,29.79,22784,3706,318,267,38,**,**,3342,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=53589&:refresh,335,48
AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901,Silver,1702700,270255,1917,615,32.08,47,14,29.79,6993,950,132,52,**,23,0,791,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=53589&:refresh,100,*
AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901,Silver,1702700,270255,1917,615,32.08,47,14,29.79,2603,316,28,22,13,0,0,275,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=53589&:refresh,57,*
AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901,Silver,1702700,270255,1917,615,32.08,47,14,29.79,75837,9293,1245,523,160,131,0,7757,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=53589&:refresh,1481,166
AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901,Silver,1702700,270255,1917,615,32.08,47,14,29.79,31640,4340,415,228,65,35,0,3825,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=53589&:refresh,588,70
AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901,Bronze Expanded,1702700,270255,1917,615,32.08,47,14,29.79,31291,5272,707,345,46,21,0,4498,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=53589&:refresh,870,131
AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901,Bronze Expanded,1702700,270255,1917,615,32.08,47,14,29.79,9743,1224,151,80,**,13,0,1053,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=53589&:refresh,213,40
AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901,Bronze Expanded,1702700,270255,1917,615,32.08,47,14,29.79,1673,138,**,**,0,**,0,133,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=53589&:refresh,49,*
AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901,Bronze Expanded,1702700,270255,1917,615,32.08,47,14,29.79,76730,10180,1252,696,131,184,**,8612,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=53589&:refresh,2469,278
AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901,Bronze Expanded,1702700,270255,1917,615,32.08,47,14,29.79,21556,2823,466,86,45,16,0,2296,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=53589&:refresh,904,99
AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901,Bronze Expanded,1702700,270255,1917,615,32.08,47,14,29.79,14038,2378,310,321,31,33,0,2004,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=53589&:refresh,278,43
AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901,Bronze Expanded,1702700,270255,1917,615,32.08,47,14,29.79,3436,619,45,27,0,**,0,571,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=53589&:refresh,104,11
AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901,Bronze Expanded,1702700,270255,1917,615,32.08,47,14,29.79,1007,165,**,**,0,0,0,162,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=53589&:refresh,30,*
AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901,Bronze Expanded,1702700,270255,1917,615,32.08,47,14,29.79,52792,6199,813,494,147,116,0,5123,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=53589&:refresh,1425,167
AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901,Bronze Expanded,1702700,270255,1917,615,32.08,47,14,29.79,9444,1215,136,88,22,14,0,1043,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=53589&:refresh,383,43
AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901,Silver,1702700,270255,1917,615,32.08,47,14,29.79,17781,3141,255,195,38,12,0,2836,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=53589&:refresh,208,28
AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901,Silver,1702700,270255,1917,615,32.08,47,14,29.79,3953,518,65,36,**,**,0,446,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=53589&:refresh,62,*
AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901,Silver,1702700,270255,1917,615,32.08,47,14,29.79,2440,361,19,62,**,0,0,339,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=53589&:refresh,49,*
AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901,Silver,1702700,270255,1917,615,32.08,47,14,29.79,67621,8561,987,580,90,138,0,7346,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=53589&:refresh,992,138
AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901,Silver,1702700,270255,1917,615,32.08,47,14,29.79,22611,3502,315,438,45,47,0,3095,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=53589&:refresh,396,48
AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901,Silver,1702700,270255,1917,615,32.08,47,14,29.79,10463,1916,169,48,26,11,0,1710,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=53589&:refresh,192,43
AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901,Silver,1702700,270255,1917,615,32.08,47,14,29.79,53178,6859,798,229,80,51,0,5930,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=53589&:refresh,839,101
AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901,Silver,1702700,270255,1917,615,32.08,47,14,29.79,1083,276,43,0,0,0,0,233,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=53589&:refresh,30,*
AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901,Silver,1702700,270255,1917,615,32.08,47,14,29.79,14770,2075,218,116,32,17,0,1808,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=53589&:refresh,243,39
AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901,Silver,1702700,270255,1917,615,32.08,47,14,29.79,13893,2106,212,36,34,19,0,1841,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=53589&:refresh,240,42
AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901,Silver,1702700,270255,1917,615,32.08,47,14,29.79,42813,7062,997,1157,68,27,0,5970,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=53589&:refresh,864,114
AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901,Gold,1702700,270255,1917,615,32.08,47,14,29.79,4310,747,159,12,14,**,0,567,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=53589&:refresh,72,22
AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901,Gold,1702700,270255,1917,615,32.08,47,14,29.79,5201,898,76,68,**,33,0,780,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=53589&:refresh,93,15
AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901,Gold,1702700,270255,1917,615,32.08,47,14,29.79,1099,145,**,**,**,0,0,134,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=53589&:refresh,*,*
AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901,Gold,1702700,270255,1917,615,32.08,47,14,29.79,2605,434,77,47,**,**,0,350,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=53589&:refresh,*,*
AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901,Gold,1702700,270255,1917,615,32.08,47,14,29.79,4741,708,115,72,12,15,0,566,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=53589&:refresh,63,*
AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901,Gold,1702700,270255,1917,615,32.08,47,14,29.79,24590,4705,633,589,40,35,0,3997,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=53589&:refresh,432,74
AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901,Silver,1702700,270255,1917,615,32.08,47,14,29.79,12665,1701,114,99,44,17,**,1525,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=53589&:refresh,257,35
AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901,Silver,1702700,270255,1917,615,32.08,47,14,29.79,62262,8498,1068,362,92,51,**,7286,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=53589&:refresh,1087,109
AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901,Silver,1702700,270255,1917,615,32.08,47,14,29.79,2341,329,41,**,**,21,0,262,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=53589&:refresh,61,*
AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901,Silver,1702700,270255,1917,615,32.08,47,14,29.79,18914,2526,313,107,28,27,0,2158,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=53589&:refresh,435,44
AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901,Silver,1702700,270255,1917,615,32.08,47,14,29.79,21157,2743,304,77,42,47,**,2349,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=53589&:refresh,364,40
AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901,Silver,1702700,270255,1917,615,32.08,47,14,29.79,51518,8828,1250,1631,124,112,**,7341,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=53589&:refresh,1139,171
AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901,Bronze Expanded,1702700,270255,1917,615,32.08,47,14,29.79,20757,3023,352,142,87,17,0,2567,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=53589&:refresh,787,93
AZ,"Blue Cross and Blue Shield of Arizona, Inc.",53901,Bronze Expanded,1702700,270255,1917,615,32.08,47,14,29.79,56547,7845,716,348,131,69,0,6929,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=53589&:refresh,1608,199
